UID,Al,ANC,Ca,Cl,cond,DOC,K,Mg,sodium,NH4,NO2,NO3,total.N,pH.lab,total.P,SIO2,SO4,TSS,turb
11187,3.00E-04,4938,81.86,22.1,590,4.35,2.499,22.49,10.18,2.50E-02,0,1.40977,1886,8.31,102.5063,9.827,52.81,15.7,11.2
11188,3.00E-04,2074.41,41.48,22.19,352.85,1.55,2.612,8.424,15.59,0.01,0.0013,0.09027,297,8.08,81.9475,7.948,35.9,3.7,3.55
11189,0.0044,4398.8,78.58,23.17,573.9,5.32,3.093,21.41,11.55,0.023,0,1.94389,2475,8.46,131.8575,19.878,49.13,18.1,13.5
11191,3.00E-04,3628.04,74.15,25.75,597.74,4.17,3.353,23.17,12.59,5.00E-02,0.00332,0.80253,1414,8.12,114.98,11.462,84.27,37.3,17.22
11192,4.00E-04,4890.59,81.05,34.2,802.74,7.03,5.622,38.55,24.01,3.20E-02,0,0.07914,950,8.34,185.3194,5.153,135.46,29.4,22.29
11193,0.0027,3035.76,51.8,14.92,444.95,5.53,6.625,16.47,14.31,1.50E-02,0.00929,0.544,2297,8.46,386.5288,4.979,52.59,78.8,38.13
11194,3.00E-04,4388.34,68.69,37.97,603.19,3.23,2.396,23.64,21.43,0.024,0.00327,0.93397,1714,8.37,52.1063,10.239,41.15,14,7.1
11195,3.00E-04,5270.66,91.84,34.91,665.5,4.27,2.597,27.21,18.85,0.023,0.00134,1.54003,2004,8.32,53.9225,9.754,52.58,3,3.58
11196,3.00E-04,5948.11,78.4,13.16,612.32,2.22,2.252,30.5,4.637,7.00E-03,0,0.12116,399,8.38,43.2394,15.735,20.71,23.1,12.32
11197,0.0044,4255.95,60.54,52.34,609,8.36,3.286,23.17,20.64,3.80E-02,0.02084,0.31135,1149,7.84,39.2775,2.903,24.83,1.6,3.21
11198,0.001,3605.62,56.14,18.81,504.6,3.11,2.142,23.08,9.043,2.90E-02,0.00444,7.90571,8438,8.04,245.9038,10.716,27.04,110.9,57.5
11199,3.00E-04,4609.67,80.01,24.6,595.4,5.05,2.754,22.14,12.06,2.20E-02,0,1.76928,2267,8.26,126.1775,9.308,49.32,14.6,10.4
11200,3.00E-04,4422.25,75.97,36.77,617.12,2.91,2.122,23.34,16.84,1.50E-02,0.00185,1.71238,2081,8.32,17.3238,7.695,44.13,2.9,4.11
11201,0.0034,3947.55,64.12,31.62,528.7,7.44,3.652,19.18,16.76,0.039,0.00496,1.84089,2713,8.38,106.8425,8.909,31.7,16.6,11.7
11203,0.0016,4745.51,81.48,33.8,635.6,6.64,3.754,24.75,15.27,2.50E-02,0,2.51326,3125,8.37,35.199,9.072,53.35,5.9,5.74
